feature,mean_abs_shap
HU-UA Schedule_t+135min,118.51598943006859
Estimated Solar Power Production (Day-Ahead)_t+360min,118.21361957327372
HU-UA Schedule_t+435min,117.79820283616087
Estimated Solar Power Production (Current)_t+300min,117.77067712048998
HU-UA,117.76119146214417
HU-SK_t-60min,117.63974958915374
Requested Negative aFRR Balancing Energy (kWh)_t-390min,117.62224182315484
Wind Power Actual - Net Commercial Settlement_t-30min,117.57797543749487
HU-AT Schedule_t+285min,117.53407776982336
temp_mean_t+30min,117.5037884314062
Estimated Solar Power Production (Day-Ahead)_t+135min,117.46742230262757
HU-RO Schedule_t+405min,117.31735435901135
Estimated Solar Power Production (Day-Ahead)_t+285min,117.29907691936937
HU-AT Schedule_t+420min,117.16843788387197
Activated Negative aFRR Balancing Energy (kWh)_t-555min,117.05436973776052
Estimated Solar Power Production (Intraday)_t+600min,117.02049552218621
Positive GCC Energy (kWh)_t-30min,116.86891558417679
HU-RO Schedule_t+720min,116.83234746145449
HU-RO_t-165min,116.73085955509866
Solar Power Plants Net (Operational Control)_t-180min,116.62495643136386
HU-UA_t-135min,116.61419079234415
Activated Positive aFRR Balancing Energy (kWh)_t-15min,116.4112705812046
HU-HR Schedule_t+135min,116.30501136028838
HU-UA_t-330min,116.2657752941565
HU-AT,116.12986993367312
HU-UA Schedule_t+405min,116.0590120827475
Activated Negative aFRR Balancing Energy (kWh)_t-120min,115.86626380622428
HU-RS Schedule_t+300min,115.78473792863898
HU-SK_t-435min,115.76409282236739
Estimated Solar Power Production (Day-Ahead)_t+195min,115.73970246914863
Solar Power Plants Net (Operational Control)_t-315min,115.70137844185724
Estimated Wind Power Production (Day-Ahead)_t+135min,115.50421896104335
Gross Actual Power Plant Generation_t-225min,115.45913890571588
Estimated Solar Power Production (Day-Ahead)_t+330min,115.37819363671676
HU-UA_t-75min,115.30413712636641
Activated Negative aFRR Balancing Energy (kWh)_t-255min,115.23504277446095
Estimated Solar Power Production (Intraday)_t+390min,115.12025353336985
HU-UA_t-600min,115.0435452064136
Estimated Solar Power Production (Intraday)_t+360min,114.95013378378731
Estimated Solar Power Production (Current)_t+435min,114.84025971178694
HU-UA_t-45min,114.8127898239264
Estimated Solar Power Production (Current)_t+315min,114.75801038533527
HU-UA Schedule_t+645min,114.69771288130701
Estimated Solar Power Production (Intraday)_t+525min,114.63194093638985
HU-AT_t-330min,114.60525122173833
HU-HR_t-405min,114.52292004279033
Estimated Wind Power Production (Day-Ahead)_t+600min,114.50117287420979
