,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,System Direction (kWh)_t+15min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,System Direction (kWh)_t+30min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,System Direction (kWh)_t+45min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,System Direction (kWh)_t+60min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,System Direction (kWh)_t+75min
day_of_year,0.02202026753965765,0.020427913294173778,0.018017046262975782,0.01904138080775738,0.017638294567819686,0.0074513624610608245,0.020587781961541624,0.01828318381216377,0.013360860077576945,0.02227082976512611,0.020703532492276282,0.013227912382222711,0.016978214126080273,0.01714211083832197,0.015283473216462881
dayofweek,0.002097898232036869,0.0024210364606386463,0.0024257365615794695,0.00319404783896249,0.0031257971572654242,0.00212260766896884,0.002332361572987537,0.0031026744148750823,0.0041732007772425275,0.004802602691907168,0.0036648190330706714,0.0019869116907188984,0.005258103078616159,0.004308611516808923,0.0022244128033266863
dayofweek_cos,0.00978142796381144,0.009782889489200898,0.0019987692157772017,0.009164846460917033,0.01092510996456258,0.002336826641068001,0.008943689876861755,0.010371650965302251,0.0013918543737810297,0.009305646286869888,0.008971686782904727,0.0017784002378182322,0.006183072874264326,0.007013250392335977,0.0014365748711111337
dayofweek_sin,0.0034442657635236173,0.0023891146322775965,0.0021201589536788672,0.004254246010241332,0.004370238363761018,0.003912042501982797,0.006244606423075311,0.0064950135194812905,0.003434606046367435,0.006109430584023357,0.005380845614381542,0.0032792831168189877,0.0070240397463785485,0.006814668207080103,0.001843206557680304
hour,0.007275678895229021,0.00708095097722071,0.010567535071291786,0.0072961695574813345,0.006580531805372629,0.010236842182475812,0.010957456814116086,0.009736527405138076,0.008712687473387631,0.015150436968313443,0.01576716739947119,0.004248940361092537,0.004925515285041911,0.004924314390952532,0.012061583856308062
is_holiday,0.00243908409038425,0.002816544308861512,0.0022360605058140094,0.0026870117866677904,0.0027780614516021004,0.002790571190365518,0.0027178723365179165,0.0026873810108551427,0.002367413188005139,0.0028357728815619114,0.0024733892478906424,0.0020167466976831277,0.002265368397346435,0.0022716882052251663,0.002232420448650873
ssrd_mean,0.006682611383313724,0.006908785171688943,0.005028596008876163,0.004707635026775983,0.004839241909199121,0.0038295736850651337,0.0036696052617841354,0.003710923164039923,0.004252555615845256,0.0016950921741951334,0.0019508716559786595,0.004399404894470581,0.004485587156494422,0.00543544105964088,0.005019287982570312
ssrd_std,0.005101220106930174,0.005171050877096422,0.002005957482196288,0.0041130915600578076,0.004342031051268578,0.0022804004013346458,0.004008518253398552,0.0035164506295505445,0.0022741033825064818,0.003141220014393207,0.0028225727835197857,0.002464108854948958,0.0040804621977356525,0.004570457267746224,0.0022379042252532386
temp_mean,0.0018334905451657959,0.0019849482291973064,0.001599630798111019,0.001470489718020002,0.001584571351303059,0.0015853380471676475,0.0016157366755408446,0.0016693937511084525,0.0016105450732920117,0.0017645744696354684,0.001684203103765543,0.001528165783978163,0.0015478581421159902,0.001730142362049878,0.001575680322070653
temp_std,0.0034610399497564124,0.003491690003863886,0.0014642836434339372,0.002548858649332874,0.002596816445315426,0.001466556448188254,0.0021457859242495396,0.0022411182510051674,0.00177957783924046,0.0024123537815594733,0.00254562070009253,0.0015428035246909419,0.002764936635349226,0.002715110431875985,0.0015807698187884568
