feature,mean_abs_shap
Estimated Solar Power Production (Day-Ahead)_t+45min,132.322738027392
Gross System Load Forecast (Day-Ahead)_t+705min,131.8283194702601
Activated Negative aFRR Balancing Energy (kWh)_t-450min,131.79287092466154
Positive GCC Energy (kWh)_t-495min,131.0349196319033
HU-AT Schedule_t+300min,130.8059927569068
HU-HR Schedule_t+285min,130.74824780002822
Gross Planned Power Plant Generation_t+555min,130.64086623174825
Activated Negative aFRR Balancing Energy (kWh)_t-75min,130.40965886310627
HU-SK Schedule_t+450min,130.22292330817282
Wind Power Actual - Net Operational Control_t-45min,129.84678785957274
HU-UA Schedule_t+420min,129.8384770466781
Requested Negative aFRR Balancing Energy (kWh)_t-225min,129.7445864299472
Requested Negative aFRR Balancing Energy (kWh)_t-450min,129.51408672043462
Gross System Load Forecast (Day-Ahead)_t+120min,129.34290802183057
Solar Power Plants Net (Operational Control)_t-465min,128.7262453182455
Estimated Solar Power Production (Current)_t+255min,128.70739922731528
HU-HR_t-30min,128.13514382932968
HU-UA_t-135min,127.97787763910128
HU-RS Schedule_t+105min,127.93070386543761
HU-HR Schedule,127.89590082940454
HU-RS Schedule_t+60min,127.88196565873257
HU-UA_t-525min,127.87814769236789
temp_mean_t+30min,127.64948274101587
Activated Negative aFRR Balancing Energy (kWh)_t-315min,127.63890176268383
Gross Planned Power Plant Generation_t+390min,127.35381044394435
Gross Planned Power Plant Generation_t+330min,127.32655850331889
Estimated Wind Power Production (Intraday)_t+240min,127.13008409869592
Requested Negative aFRR Balancing Energy (kWh)_t-405min,126.89206713437963
Gross Planned Power Plant Generation_t+690min,126.79106533019777
Negative GCC Energy (kWh)_t-480min,126.78437719853935
Gross Actual Power Plant Generation_t-570min,126.7838828921684
Estimated Wind Power Production (Intraday)_t+195min,126.70262371150731
Positive GCC Energy (kWh)_t-510min,126.69765486018332
HU-HR_t-315min,126.56723601772481
System Direction (kWh)_t-120min,126.26053651616226
Activated Negative aFRR Balancing Energy (kWh)_t-240min,126.07626041215151
Gross Planned Power Plant Generation_t+405min,125.90270817687806
Solar Power Plants Net (Operational Control)_t-300min,125.79567173708124
Gross Actual Power Plant Generation_t-375min,125.598641602835
Estimated Solar Power Production (Day-Ahead)_t+240min,125.52272400632724
Requested Positive aFRR Balancing Energy (kWh)_t-300min,125.29854985551533
HU-SK_t-375min,125.25167977718118
Requested Negative aFRR Balancing Energy (kWh)_t-600min,125.22389561086788
