feature,mean_abs_shap
Estimated Solar Power Production (Current)_t+525min,705.4810653633643
Activated Negative aFRR Balancing Energy (kWh)_t-525min,704.243719414345
HU-AT Schedule_t+495min,702.7434001989011
HU-UA_t-345min,700.3059761876513
HU-HR Schedule_t+540min,697.2241805767596
HU-RO Schedule_t+645min,697.0118653941048
HU-UA_t-465min,696.9831604441731
Requested Negative aFRR Balancing Energy (kWh)_t-480min,696.5748850278522
Gross Actual Power Plant Generation_t-435min,695.572634827742
HU-RS_t-285min,694.477383104001
Gross System Load Forecast (Day-Ahead)_t+180min,693.5293873905719
HU-UA Schedule_t+75min,691.9842439504597
HU-UA_t-435min,690.1952154345527
HU-UA_t-510min,690.0014688421674
Positive GCC Energy (kWh)_t-75min,689.2431377393203
System Direction (kWh)_t-105min,686.9592427196546
HU-RO_t-15min,685.3651415699196
HU-SK Schedule_t+540min,684.797511879818
HU-RS_t-105min,684.7649418385599
HU-HR_t-495min,684.1992710454987
HU-RO Schedule_t+495min,684.0453854846687
Gross System Load Forecast (Day-Ahead)_t+540min,682.4404326846776
HU-RO Schedule_t+675min,681.2312055483781
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-180min,680.9555912526139
HU-UA Schedule_t+315min,677.390728501274
Activated Positive aFRR Balancing Energy Cost (HUF)_t-300min,677.0835715640451
HU-RS Schedule_t+375min,675.5178255242857
Gross Planned Power Plant Generation_t+435min,674.5153139724981
HU-RO Schedule_t+630min,671.7175025626233
Estimated Wind Power Production (Current)_t+210min,668.0105873296404
Wind Power Actual - Net Commercial Settlement_t-60min,664.755302009449
HU-RO Schedule_t+165min,664.5432545420355
HU-UA Schedule_t+180min,664.4892705631231
HU-UA Schedule_t+270min,663.6411230339131
HU-RS Schedule_t+390min,662.4999321581736
Solar Power Plants Net (Operational Control)_t-345min,661.9619110383168
Requested Negative aFRR Balancing Energy (kWh)_t-270min,661.8052280592592
HU-SK Schedule_t+195min,661.14081315729
Activated Negative aFRR Balancing Energy (kWh)_t-345min,661.1074969139654
HU-RS Schedule_t+45min,661.0713203305363
Estimated Solar Power Production (Day-Ahead)_t+390min,660.5267974129082
Gross Planned Power Plant Generation_t+285min,660.4601225163287
Gross System Load Forecast (Day-Ahead)_t+315min,660.3194875195976
HU-UA Schedule_t+30min,659.9859361405463
HU-RO_t-165min,659.8309534863787
System Direction (kWh)_t-150min,659.0926636274219
Estimated Wind Power Production (Day-Ahead)_t+270min,658.9853428498727
HU-RO Schedule_t+540min,658.5617939650501
HU-RS_t-345min,658.1055104932339
HU-UA Schedule_t+420min,657.2724771781611
HU-UA_t-150min,656.0357676175784
HU-RO Schedule_t+450min,655.5027231836009
Gross Planned Power Plant Generation_t+315min,655.2838882804995
HU-SK Schedule_t+315min,654.3395788070636
Requested Negative aFRR Balancing Energy (kWh)_t-240min,653.696381374632
Estimated Solar Power Production (Intraday)_t+585min,652.5090527257075
Estimated Wind Power Production (Day-Ahead)_t+210min,651.5041779396583
HU-UA Schedule_t+60min,650.6159042626875
HU-SK Schedule_t+405min,650.2256714215075
System Direction (kWh)_t-135min,649.1240167114853
HU-RS_t-90min,646.7504474353174
Requested Negative aFRR Balancing Energy (kWh)_t-225min,646.6656838220949
Estimated Solar Power Production (Intraday)_t+45min,644.6602502077176
HU-RO Schedule_t+285min,644.4959419163258
HU-HR Schedule_t+525min,643.1635438031522
Gross Actual Power Plant Generation_t-195min,642.8954568439715
Gross Planned Power Plant Generation_t+525min,642.809991643181
Gross System Load Forecast (Day-Ahead)_t+120min,642.8051453987568
HU-RO,642.0378654637059
Requested Negative aFRR Balancing Energy (kWh)_t-465min,641.9009274513371
HU-SK_t-600min,640.629962224447
